date,name,pct,amount,leader,leader_pct
2026-08-18,开发区,1.6527748094322,19.29512762,高新发展,7.882
2026-08-18,酿酒行业,0.34039728819988,125.62849799,ST椰岛,3.517
2026-08-18,摩托车,-1.2228634240176,16.05494541,钱江摩托,-0.176
2026-08-18,煤炭行业,0.80747086083415,181.40984003,宝泰隆,3.371
2026-08-18,农林牧渔,3.4304575908207,253.08245852,神农种业,20.039
2026-08-18,农药化肥,1.5514213953902,141.30802388,赤天化,9.971
2026-08-18,汽车制造,-0.18677774791723,296.36719886,亚太股份,10.011
2026-08-18,其它行业,-0.72505649409017,223.07596369,深华发Ｂ,5.932
2026-08-18,塑料制品,-0.91873851576855,67.70002562,金发科技,5.509
2026-08-18,水泥行业,0.30784782209153,32.05183423,柘中股份,7.275
2026-08-18,食品行业,1.3527523242592,195.64276697,黑芝麻,10.038
2026-08-18,次新股,0.72975893844224,710.9357214,新睿电子,19.607
2026-08-18,生物制药,-0.66598405109204,491.8222287,神奇制药,10.071
2026-08-18,商业百货,-0.067866547221544,154.3445514,三江购物,10.0
2026-08-18,石油行业,1.2511729746637,74.05155129,海油工程,7.308
2026-08-18,陶瓷行业,0.36048368697239,13.2954044,松发股份,0.824
2026-08-18,物资外贸,-0.22054769343871,24.69627245,远大控股,1.772
2026-08-18,医疗器械,-1.7005938214839,82.30171622,戴维医疗,4.138
2026-08-18,仪器仪表,-0.96211383449295,220.52125847,*ST东智,3.089
2026-08-18,印刷包装,-2.6466191857909,80.91410479,盛通股份,-0.166
2026-08-18,有色金属,-0.99441787853146,798.80115723,闽发铝业,6.933
2026-08-18,综合行业,0.60685822914382,28.0503761,广汇物流,6.181
2026-08-18,造纸行业,-0.89066339066339,53.73692465,景兴纸业,7.745
